name,clues,sat,wall_sec,nvars,nclauses,conflicts_progress_max,propagations,decisions,starts
db_0125_clues25,25,True,0.021016,729,12013,0,729,1,1
db_0126_clues26,26,True,0.030887,729,12014,0,729,1,1
db_0127_clues32,32,True,0.024543,729,12020,0,729,1,1
db_0128_clues31,31,True,0.023811,729,12019,0,729,1,1
db_0129_clues30,30,True,0.030944,729,12018,0,729,1,1
db_0130_clues32,32,True,0.023011,729,12020,0,729,1,1
db_0131_clues32,32,True,0.023218,729,12020,0,729,1,1
db_0132_clues30,30,True,0.023722,729,12018,0,729,1,1
db_0133_clues30,30,True,0.024155,729,12018,0,729,1,1
db_0134_clues32,32,True,0.023600,729,12020,0,729,1,1
db_0135_clues26,26,True,0.028229,729,12014,0,729,2,1
db_0136_clues26,26,True,0.023307,729,12014,0,729,3,1
db_0137_clues24,24,True,0.024594,729,12012,0,729,1,1
db_0138_clues26,26,True,0.028716,729,12014,0,729,1,1
db_0139_clues24,24,True,0.022948,729,12012,0,729,1,1
db_0140_clues23,23,True,0.026374,729,12011,3,947,6,1
db_0141_clues25,25,True,0.023696,729,12013,0,729,3,1
db_0142_clues22,22,True,0.023044,729,12010,1,794,4,1
db_0143_clues25,25,True,0.025386,729,12013,2,888,5,1
